Title,Rating,Votes,Genre,Years,Runtime
The Shining,8.4,"972,292","Drama, Horror            ",(1980),146 min
Apocalypse Now,8.4,"644,275","Drama, Mystery, War            ",(1979),147 min
Alien,8.4,"844,067","Horror, Sci-Fi            ",(1979),117 min
Tengoku to jigoku,8.4,"41,795","Crime, Drama, Mystery            ",(1963),143 min
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,"475,911","Comedy, War            ",(1964),95 min
Witness for the Prosecution,8.4,"120,490","Crime, Drama, Mystery            ",(1957),116 min
Paths of Glory,8.4,"191,315","Drama, War            ",(1957),88 min
Pather Panchali,8.4,"30,630",Drama            ,(1955),125 min
Sunset Blvd.,8.4,"215,549","Drama, Film-Noir            ",(1950),110 min
The Great Dictator,8.4,"218,000","Comedy, Drama, War            ",(1940),125 min
Chhichhore,8.3,"47,875","Comedy, Drama, Romance            ",(2019),143 min
1917,8.3,"533,615","Action, Drama, War            ",(2019),119 min
Uri: The Surgical Strike,8.3,"55,458","Action, Drama, War            ",(2019),138 min
Tumbbad,8.3,"40,042","Drama, Fantasy, Horror            ",(2018),104 min
K.G.F: Chapter 1,8.3,"55,308","Action, Crime, Drama            ",(2018),156 min
Vikram Vedha,8.3,"36,076","Action, Crime, Drama            ",(2017),147 min
Drishyam,8.3,"39,809","Crime, Drama, Thriller            ",(2013),160 min
Jagten,8.3,"314,870",Drama            ,(2012),115 min
Jodaeiye Nader az Simin,8.3,"238,947",Drama            ,(2011),123 min
Incendies,8.3,"169,451","Drama, Mystery, War            ",(2010),131 min
The Deer Hunter,8.1,"330,818","Drama, War            ",(2021),183 min
Rocky,8.1,"553,496","Drama, Sport            ",(1994),120 min
Network,8.1,"155,366",Drama            ,(1972),121 min
Barry Lyndon,8.1,"162,284","Adventure, Drama, History            ",(2020),185 min
Zerkalo,8.1,"44,845","Biography, Drama            ",(2008),107 min
Paper Moon,8.1,"46,214","Comedy, Crime, Drama            ",(1974),102 min
Viskningar och rop,8.1,"33,213",Drama            ,(1957),91 min
