Title,Rating,Votes,Genre,Years,Runtime
Un long dimanche de fiançailles,7.6,"73,190","Drama, Mystery, Romance            ",(2004),133 min
The Station Agent,7.6,"69,768","Comedy, Drama            ",(2003),89 min
21 Grams,7.6,"233,330","Crime, Drama, Thriller            ",(2003),124 min
Finding Neverland,7.6,"203,952","Biography, Drama, Family            ",(2004),106 min
25th Hour,7.6,"176,561",Drama            ,(2002),135 min
The Butterfly Effect,7.6,"476,105","Drama, Sci-Fi, Thriller            ",(2004),113 min
I Am Sam,7.6,"148,445",Drama            ,(2001),132 min
Batoru rowaiaru,7.6,"179,408","Action, Adventure, Drama            ",(2000),114 min
The Royal Tenenbaums,7.6,"284,570","Comedy, Drama            ",(2001),110 min
Y tu mamá también,7.6,"120,960",Drama            ,(2001),106 min
Harry Potter and the Sorcerer's Stone,7.6,"742,211","Adventure, Family, Fantasy            ",(2001),152 min
The Others,7.6,"356,528","Horror, Mystery, Thriller            ",(2001),101 min
Minority Report,7.6,"536,184","Action, Crime, Mystery            ",(2002),145 min
American Psycho,7.6,"550,752","Crime, Drama, Horror            ",(2000),101 min
The Thin Red Line,7.6,"183,986","Drama, History, War            ",(1998),170 min
Dark City,7.6,"196,561","Fantasy, Mystery, Sci-Fi            ",(1998),100 min
Lost Highway,7.6,"138,881","Mystery, Thriller            ",(1997),134 min
The Bridges of Madison County,7.6,"79,128","Drama, Romance            ",(1995),135 min
Apollo 13,7.6,"286,902","Adventure, Drama, History            ",(I) (1995),140 min
Trois couleurs: Blanc,7.6,"71,391","Comedy, Drama, Romance            ",(1994),92 min
Dazed and Confused,7.6,"177,863",Comedy            ,(1993),102 min
My Cousin Vinny,7.6,"119,658","Comedy, Crime            ",(1992),120 min
Omohide poro poro,7.6,"30,775","Animation, Drama, Romance            ",(1991),118 min
Home Alone,7.6,"548,124","Comedy, Family            ",(1990),103 min
When Harry Met Sally...,7.6,"211,056","Comedy, Drama, Romance            ",(1989),95 min
Withnail & I,7.6,"43,119","Comedy, Drama            ",(1987),107 min
Lethal Weapon,7.6,"251,763","Action, Crime, Thriller            ",(1987),109 min
Mad Max 2,7.6,"176,042","Action, Adventure, Sci-Fi            ",(1981),96 min
Rupan sansei: Kariosutoro no shiro,7.6,"29,858","Animation, Action, Adventure            ",(1979),100 min
Close Encounters of the Third Kind,7.6,"196,426","Drama, Sci-Fi            ",(1977),138 min
Le locataire,7.6,"42,981","Drama, Thriller            ",(1976),126 min
Giù la testa,7.6,"33,857","Drama, War, Western            ",(1971),157 min
Kelly's Heroes,7.6,"48,435","Adventure, Comedy, War            ",(1970),144 min
Where Eagles Dare,7.6,"56,955","Action, Adventure, War            ",(1968),158 min
The Jungle Book,7.6,"176,818","Animation, Adventure, Comedy            ",(1967),78 min
Breakfast at Tiffany's,7.6,"175,885","Comedy, Drama, Romance            ",(1961),115 min
Giant,7.6,"37,797","Drama, Western            ",(1956),201 min
Sabrina,7.6,"63,462","Comedy, Drama, Romance            ",(1954),113 min
From Here to Eternity,7.6,"46,088","Drama, Romance, War            ",(1953),118 min
Gilda,7.6,"31,598","Drama, Film-Noir, Romance            ",(1946),110 min
Lifeboat,7.6,"28,457","Drama, War            ",(1944),97 min
The 39 Steps,7.6,"55,794","Crime, Mystery, Thriller            ",(1935),86 min
